title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Hurts So Good,Astrid S,alt z,2016,2020‑06‑08,120,0.737,0.785,-5.306,0.108,0.971,218960,0.042,0.0363,77,2016,Solo
Gold,Kiiara,alt z,2015,2020‑06‑08,113,0.696,0.629,-5.572,0.0554,0.623,207627,0.0195,0.348,64,2016,Solo
Easier,5 Seconds of Summer,boy band,2019,2020‑06‑22,176,0.399,0.547,-9.808,0.132,0.563,174707,0.668,0.0246,74,2019,Band/Group
i'm so tired...,Lauv,dance pop,2019,2020‑06‑22,102,0.806,0.736,-7.47,0.162,0.418,156605,0.14,0.0987,81,2019,Solo
Options,NSG,afro dancehall,2018,2020‑08‑20,102,0.798,0.47,-5.504,0.291,0.119,141199,0.0079,0.129,62,2019,Band/Group
When You Love Someone,James TW,neo mellow,2019,2020‑06‑08,126,0.453,0.682,-6.09,0.0543,0.348,216560,0.263,0.0278,79,2016,Solo
Alaska,Maggie Rogers,indie pop,2019,2021‑08‑09,104,0.386,0.847,-10.668,0.108,0.178,188000,0.411,0.0507,70,2016,Solo
NUMB,Hayden James,aussietronica,2019,2021‑06‑25,148,0.87,0.488,-4.185,0.484,0.211,187520,0.00353,0.0421,64,2017,Solo
Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,2021‑01‑28,106,0.495,0.873,-5.446,0.0805,0.546,202062,0.199,0.0518,75,2017,Solo
Despacito,Luis Fonsi,latin,2019,2021‑01‑28,178,0.797,0.655,-4.787,0.067,0.839,229360,0.198,0.153,83,2017,Solo
Simple,Florida Georgia Line,contemporary country,2019,2020‑06‑22,200,0.752,0.422,-8.682,0.129,0.404,356627,0.0366,0.0449,75,2018,Duo
Strangers,Sigrid,dance pop,2019,2020‑06‑22,115,0.523,0.628,-8.307,0.219,0.416,172965,0.701,0.0946,64,2018,Solo
Ladbroke Grove,AJ Tracey,grime,2019,2020‑08‑20,134,0.839,0.902,-9.447,0.102,0.727,190537,0.0933,0.208,73,2019,Solo
China,Anuel AA,latin,2019,2020‑06‑22,105,0.91,0.623,-8.448,0.081,0.745,195307,0.319,0.0384,80,2019,Solo
Secreto,Anuel AA,latin,2019,2020‑06‑22,92,0.74,0.729,-7.524,0.288,0.416,152903,0.159,0.0439,79,2019,Solo
7 rings,Ariana Grande,dance pop,2019,2020‑06‑22,140,0.317,0.777,-10.732,0.0881,0.33,178627,0.591,0.308,88,2019,Solo
"thank u, next",Ariana Grande,dance pop,2019,2020‑06‑22,107,0.654,0.72,-5.634,0.101,0.411,207320,0.227,0.0647,85,2019,Solo
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,2020‑06‑22,170,0.886,0.516,-4.869,0.149,0.636,192000,0.0261,0.0457,81,2019,Solo
boyfriend (with Social House),Ariana Grande,dance pop,2019,2020‑06‑22,190,0.795,0.4,-3.731,0.159,0.702,186107,0.119,0.461,81,2019,Solo
On A Roll,Ashley O,pop,2019,2020‑06‑22,125,0.745,0.695,-4.566,0.0863,0.485,198116,0.0124,0.0292,62,2019,Solo
Callaita,Bad Bunny,latin,2019,2020‑06‑22,176,0.626,0.608,-4.773,0.25,0.246,250534,0.597,0.301,86,2019,Solo
bad guy,Billie Eilish,art pop,2019,2020‑06‑22,135,0.425,0.701,-10.965,0.1,0.562,194088,0.328,0.375,88,2019,Solo
when the party's over,Billie Eilish,art pop,2019,2020‑06‑22,83,0.173,0.435,-16.188,0.384,0.401,146413,0.914,0.0627,85,2019,Solo
