artist_name,track_name,duration_ms,album_name,artist_genres,artist_popularity,artist_followers,album_type,album_release_date,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_time_signature
3OH!3,STARSTRUKK (feat. Katy Perry),70294,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.343,0.975,1,-2.502,0,0.135,3.23e-05,0.991,0.0515,0.133,119.883,4
Daniel Tidwell,Pokémon Theme,65306,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.414,0.959,7,-4.299,0,0.0378,2.31e-05,0.933,0.368,0.589,145.911,4
Daniel Tidwell,Concerning Hobbits (The Lord of the Rings),108532,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.522,0.205,2,-7.986,1,0.0376,0.0534,0.235,0.0985,0.353,103.868,4
Daniel Tidwell,The Blood of Cuchulainn (The Boondock Saints),214268,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.0849,0.956,2,-4.196,1,0.0805,5.24e-05,0.953,0.397,0.309,185.397,3
Daniel Tidwell,He's a Pirate (Pirates of the Caribbean),110219,Versus Hollywood,scorecore,37.0,31915.0,album,2015-07-14,0.283,0.925,3,-4.7,1,0.111,0.000748,0.933,0.166,0.368,99.45,4
Kaleptik,U.N. Owen Was Her? (Remix),226000,"Video Game Remixes, Vol. 1",scorecore,24.0,8020.0,single,2015-01-01,0.493,0.969,2,-3.282,0,0.0463,0.201,0.655,0.247,0.34,170.581,4
Leslie Odom Jr.,The Room Where It Happens,318214,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.638,0.49,4,-9.382,0,0.426,0.271,0.0,0.664,0.511,173.552,4
Christopher Jackson,Right Hand Man,321696,Hamilton,show tunes,64.0,52548.0,album,2015-09-25,0.68,0.413,8,-9.41,1,0.492,0.177,0.0,0.205,0.383,158.576,4
Leslie Odom Jr.,Alexander Hamilton,236737,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,4
Lin-Manuel Miranda,My Shot,333154,Hamilton,"broadway, show tunes",71.0,659157.0,album,2015-09-25,0.698,0.649,8,-6.764,1,0.415,0.15,0.0,0.0903,0.568,180.466,4
